Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10
Trastorno esquizoafectivo,Temblores,Expresión facial reducida,Disnea,Paranoia intensa,Afectividad inapropiada,Anhedonia - sociabilidad,Alogia - bloqueos del pensamiento,Deterioro de la memoria,Sudoración,Desorganización del pensamiento
Trastorno esquizoafectivo,Expresión facial reducida,Catatonía,Déficit en el procesamiento de la información,Dificultad de concentración,Alogia - pobreza de contenido,Ideas suicidas,Alogia - bloqueos del pensamiento,Ideas delirantes,Abulia - higiene,Deterioro de la atención
Esquizofrenia,Anergia física,Paranoia intensa,Desorganización del pensamiento,Irritabilidad,Dificultad de concentración,Contacto visual bajo,Sentimiento de culpa,Anhedonia - intereses recreativos,Sudoración,Alogia - pobreza del habla
Trastorno delirante,Desorganización del pensamiento,Temblores,Paranoia intensa,Lenguaje desorganizado,Dificultad de concentración,Ideas suicidas,Sueño o fatiga,Deterioro de la atención,Abulia,Anergia física
Trastorno bipolar con síntomas psicóticos,Hipervigilancia,Preocupación,Disnea,Alogia - pobreza del habla,Ideas delirantes,Alogia - bloqueos del pensamiento,Paranoia intensa,Irritabilidad,Hipoexpresividad emocional,Sueño o fatiga
Trastorno esquizotípico,Tristeza,Comportamiento social inadecuado,Dificultad de concentración,Anhedonia - relaciones con la familia,Anhedonia - relaciones con amigos,Alogia - pobreza del habla,Déficit en el procesamiento de la información,Abulia - trabajo o estudio,Pensamientos intrusivos,Contacto visual bajo
Esquizofrenia,Anergia física,Dificultad de concentración,Abulia,Catatonía,Eco del pensamiento,Deterioro de la memoria,Anhedonia - intereses recreativos,Pensamientos intrusivos,Preocupación,Irritabilidad
Trastorno delirante,Anhedonia - relaciones con la familia,Paranoia intensa,Lenguaje desorganizado,Disnea,Taquicardia,Sueño o fatiga,Ideas delirantes,Ideas suicidas,Temblores,Disminución del libido
Trastorno bipolar con síntomas psicóticos,Tristeza,Deterioro de la atención,Preocupación,Taquicardia,Hipervigilancia,Desorganización del pensamiento,Déficit en el procesamiento de la información,Sudoración,Anhedonia - relaciones con la familia,Comportamiento social inadecuado
Esquizofrenia,Hipoexpresividad emocional,Dificultades en teoría de la mente,Anhedonia - intereses recreativos,Eco del pensamiento,Anhedonia - intereses sexuales,Sudoración,Deterioro de la memoria,Alucinaciones,Ideas delirantes,Afectividad inapropiada
Trastorno esquizotípico,Abulia - trabajo o estudio,Abulia,Disnea,Paranoia intensa,Contacto visual bajo,Expresión facial reducida,Dificultades en teoría de la mente,Alogia - pobreza de contenido,Sueño o fatiga,Anhedonia
Trastorno esquizoafectivo,Anhedonia - intereses recreativos,Alogia - pobreza de contenido,Hipoexpresividad emocional,Anergia física,Déficit en el procesamiento de la información,Irritabilidad,Desorganización del pensamiento,Expresión facial reducida,Nerviosismo,Catatonía
Trastorno esquizoafectivo,Desorganización del pensamiento,Lenguaje desorganizado,Alogia,Disnea,Abulia,Taquicardia,Contacto visual bajo,Anhedonia - sociabilidad,Nerviosismo,Abulia - trabajo o estudio
Depresión mayor con síntomas psicóticos,Gesticulación reducida,Comportamiento motor desorganizado,Abulia - higiene,Alogia - pobreza del habla,Anhedonia - sociabilidad,Hipoexpresividad emocional,Expresión facial reducida,Afectividad inapropiada,Sueño o fatiga,Eco del pensamiento
Trastorno delirante,Temblores,Comportamiento social inadecuado,Nerviosismo,Expresión facial reducida,Dificultad de concentración,Disnea,Catatonía,Gesticulación reducida,Irritabilidad,Anhedonia - intereses recreativos
Trastorno esquizotípico,Disminución del libido,Disnea,Anhedonia - intereses recreativos,Obsesiones de presencia,Abulia - trabajo o estudio,Contacto visual bajo,Tristeza,Anhedonia - intereses sexuales,Paranoia intensa,Alogia - pobreza de contenido
Depresión mayor con síntomas psicóticos,Paranoia intensa,Eco del pensamiento,Abulia - higiene,Anhedonia,Comportamiento motor desorganizado,Ideas suicidas,Irritabilidad,Anhedonia - relaciones con la familia,Catatonía,Anhedonia - intereses recreativos
Trastorno delirante,Anhedonia - intereses sexuales,Deterioro de la memoria,Abulia - trabajo o estudio,Ideas suicidas,Abulia - higiene,Alogia - pobreza de contenido,Catatonía,Dificultades en teoría de la mente,Irritabilidad,Deterioro de la atención
Esquizofrenia,Taquicardia,Control del pensamiento,Disminución del libido,Irritabilidad,Alogia - bloqueos del pensamiento,Eco del pensamiento,Sentimiento de culpa,Abulia,Deterioro de la memoria,Temblores
Trastorno delirante,Anhedonia,Disminución del libido,Anhedonia - sociabilidad,Contacto visual bajo,Cambios en el apetito,Taquicardia,Dificultades en teoría de la mente,Sentimiento de culpa,Hipervigilancia,Hipoexpresividad emocional
Trastorno bipolar con síntomas psicóticos,Abulia,Pensamientos intrusivos,Anhedonia,Anhedonia - intereses recreativos,Eco del pensamiento,Deterioro de la atención,Anhedonia - relaciones con la familia,Alucinaciones,Paranoia intensa,Comportamiento motor desorganizado
Trastorno esquizoafectivo,Control del pensamiento,Abulia - higiene,Anhedonia,Tristeza,Alogia - pobreza de contenido,Disnea,Desorganización del pensamiento,Obsesiones de presencia,Sueño o fatiga,Deterioro de la atención
Esquizofrenia,Comportamiento social inadecuado,Gesticulación reducida,Alogia - pobreza del habla,Anergia física,Sentimiento de culpa,Eco del pensamiento,Afectividad inapropiada,Cambios en el apetito,Contacto visual bajo,Sueño o fatiga
Trastorno esquizotípico,Temblores,Alogia - pobreza de contenido,Expresión facial reducida,Comportamiento social inadecuado,Control del pensamiento,Anhedonia - relaciones con la familia,Eco del pensamiento,Anhedonia - intereses recreativos,Alogia - bloqueos del pensamiento,Dificultades en teoría de la mente
Trastorno esquizoafectivo,Sudoración,Abulia,Sentimiento de culpa,Obsesiones de presencia,Contacto visual bajo,Comportamiento motor desorganizado,Anhedonia - intereses recreativos,Abulia - higiene,Alogia - pobreza de contenido,Anergia física
Depresión mayor con síntomas psicóticos,Ideas delirantes,Hipoexpresividad emocional,Paranoia intensa,Deterioro de la atención,Desorganización del pensamiento,Ideas suicidas,Afectividad inapropiada,Hipervigilancia,Cambios en el apetito,Nerviosismo
Esquizofrenia,Sudoración,Anhedonia - relaciones con amigos,Anhedonia - intereses recreativos,Déficit en el procesamiento de la información,Anhedonia - sociabilidad,Obsesiones de presencia,Abulia - trabajo o estudio,Tristeza,Nerviosismo,Irritabilidad
Esquizofrenia,Pensamientos intrusivos,Catatonía,Contacto visual bajo,Paranoia intensa,Ideas suicidas,Taquicardia,Irritabilidad,Disnea,Tristeza,Temblores
Esquizofrenia,Comportamiento motor desorganizado,Paranoia intensa,Anhedonia,Taquicardia,Alucinaciones,Expresión facial reducida,Disminución del libido,Irritabilidad,Tristeza,Desorganización del pensamiento
Trastorno esquizoafectivo,Alogia,Hipervigilancia,Gesticulación reducida,Obsesiones de presencia,Contacto visual bajo,Afectividad inapropiada,Alogia - bloqueos del pensamiento,Catatonía,Dificultades en teoría de la mente,Dificultad de concentración
Trastorno delirante,Lenguaje desorganizado,Desorganización del pensamiento,Ideas delirantes,Abulia - trabajo o estudio,Hipoexpresividad emocional,Anhedonia - relaciones con la familia,Contacto visual bajo,Déficit en el procesamiento de la información,Alogia - bloqueos del pensamiento,Alogia - pobreza del habla
Trastorno esquizoafectivo,Anergia física,Sentimiento de culpa,Comportamiento social inadecuado,Preocupación,Taquicardia,Irritabilidad,Lenguaje desorganizado,Temblores,Anhedonia - relaciones con la familia,Abulia - higiene
Trastorno esquizoafectivo,Abulia - trabajo o estudio,Deterioro de la memoria,Sentimiento de culpa,Comportamiento motor desorganizado,Anhedonia - relaciones con la familia,Dificultades en teoría de la mente,Paranoia intensa,Anhedonia,Alogia - bloqueos del pensamiento,Eco del pensamiento
Trastorno esquizoafectivo,Abulia,Preocupación,Anhedonia - relaciones con la familia,Anhedonia - intereses sexuales,Anhedonia - relaciones con amigos,Ideas delirantes,Expresión facial reducida,Disnea,Paranoia intensa,Pensamientos intrusivos
Trastorno esquizotípico,Anhedonia - relaciones con amigos,Alogia - pobreza del habla,Afectividad inapropiada,Eco del pensamiento,Abulia,Pensamientos intrusivos,Hipervigilancia,Obsesiones de presencia,Alogia - pobreza de contenido,Nerviosismo
Esquizofrenia,Disminución del libido,Comportamiento social inadecuado,Alogia - pobreza de contenido,Alucinaciones,Hipervigilancia,Alogia - pobreza del habla,Gesticulación reducida,Taquicardia,Anergia física,Dificultades en teoría de la mente
Depresión mayor con síntomas psicóticos,Irritabilidad,Sudoración,Alogia,Abulia - trabajo o estudio,Ideas delirantes,Tristeza,Alogia - pobreza del habla,Sentimiento de culpa,Anhedonia,Alogia - bloqueos del pensamiento
Trastorno delirante,Taquicardia,Pensamientos intrusivos,Anhedonia - intereses recreativos,Anhedonia - relaciones con amigos,Gesticulación reducida,Ideas suicidas,Expresión facial reducida,Comportamiento social inadecuado,Alucinaciones,Alogia - bloqueos del pensamiento
Trastorno esquizoafectivo,Gesticulación reducida,Déficit en el procesamiento de la información,Ideas suicidas,Anhedonia - intereses recreativos,Obsesiones de presencia,Control del pensamiento,Anhedonia - relaciones con amigos,Ideas delirantes,Deterioro de la atención,Alogia - bloqueos del pensamiento
Esquizofrenia,Expresión facial reducida,Alogia - pobreza de contenido,Pensamientos intrusivos,Hipervigilancia,Anhedonia - relaciones con amigos,Comportamiento motor desorganizado,Alogia - pobreza del habla,Afectividad inapropiada,Preocupación,Sueño o fatiga
Trastorno esquizoafectivo,Alogia - bloqueos del pensamiento,Alucinaciones,Dificultad de concentración,Ideas suicidas,Anhedonia - relaciones con amigos,Sudoración,Abulia - higiene,Alogia,Control del pensamiento,Sueño o fatiga
Trastorno esquizoafectivo,Comportamiento social inadecuado,Taquicardia,Ideas suicidas,Anhedonia - intereses sexuales,Expresión facial reducida,Nerviosismo,Anhedonia - intereses recreativos,Anhedonia - relaciones con la familia,Obsesiones de presencia,Paranoia intensa
Trastorno delirante,Sudoración,Deterioro de la memoria,Alogia - bloqueos del pensamiento,Abulia - trabajo o estudio,Hipoexpresividad emocional,Abulia,Deterioro de la atención,Dificultad de concentración,Anhedonia - relaciones con amigos,Eco del pensamiento
Trastorno delirante,Anhedonia - intereses sexuales,Alucinaciones,Lenguaje desorganizado,Abulia,Hipoexpresividad emocional,Dificultad de concentración,Ideas delirantes,Eco del pensamiento,Sentimiento de culpa,Deterioro de la atención
Depresión mayor con síntomas psicóticos,Anhedonia - relaciones con la familia,Dificultades en teoría de la mente,Disnea,Comportamiento motor desorganizado,Obsesiones de presencia,Preocupación,Anhedonia - relaciones con amigos,Paranoia intensa,Ideas suicidas,Anhedonia - intereses sexuales
Trastorno bipolar con síntomas psicóticos,Abulia - trabajo o estudio,Nerviosismo,Catatonía,Taquicardia,Anhedonia - intereses sexuales,Sentimiento de culpa,Lenguaje desorganizado,Alogia,Afectividad inapropiada,Anhedonia - intereses recreativos
Esquizofrenia,Deterioro de la atención,Tristeza,Sudoración,Anhedonia - sociabilidad,Dificultad de concentración,Comportamiento social inadecuado,Cambios en el apetito,Eco del pensamiento,Abulia - higiene,Sentimiento de culpa
Trastorno delirante,Disminución del libido,Dificultad de concentración,Comportamiento motor desorganizado,Abulia - higiene,Tristeza,Hipervigilancia,Sentimiento de culpa,Disnea,Comportamiento social inadecuado,Hipoexpresividad emocional
Trastorno esquizotípico,Afectividad inapropiada,Cambios en el apetito,Déficit en el procesamiento de la información,Expresión facial reducida,Alucinaciones,Sudoración,Irritabilidad,Temblores,Contacto visual bajo,Ideas delirantes
Depresión mayor con síntomas psicóticos,Lenguaje desorganizado,Déficit en el procesamiento de la información,Ideas delirantes,Abulia,Obsesiones de presencia,Alogia,Paranoia intensa,Anhedonia,Ideas suicidas,Taquicardia
Trastorno delirante,Deterioro de la atención,Desorganización del pensamiento,Abulia,Sudoración,Anhedonia - relaciones con la familia,Déficit en el procesamiento de la información,Anhedonia,Anhedonia - sociabilidad,Anhedonia - intereses sexuales,Taquicardia
Depresión mayor con síntomas psicóticos,Expresión facial reducida,Anhedonia - sociabilidad,Hipervigilancia,Catatonía,Alogia - pobreza del habla,Afectividad inapropiada,Deterioro de la memoria,Ideas delirantes,Abulia - higiene,Abulia
Esquizofrenia,Alucinaciones,Alogia - pobreza de contenido,Tristeza,Pensamientos intrusivos,Gesticulación reducida,Comportamiento motor desorganizado,Afectividad inapropiada,Anhedonia - intereses recreativos,Deterioro de la memoria,Comportamiento social inadecuado
Trastorno esquizotípico,Obsesiones de presencia,Eco del pensamiento,Alogia - bloqueos del pensamiento,Comportamiento social inadecuado,Abulia - higiene,Hipoexpresividad emocional,Dificultad de concentración,Catatonía,Cambios en el apetito,Sudoración
Trastorno bipolar con síntomas psicóticos,Anhedonia,Gesticulación reducida,Sudoración,Deterioro de la memoria,Preocupación,Abulia - higiene,Sueño o fatiga,Alucinaciones,Sentimiento de culpa,Hipervigilancia
Trastorno delirante,Dificultad de concentración,Alogia - bloqueos del pensamiento,Gesticulación reducida,Sudoración,Sentimiento de culpa,Anhedonia - relaciones con la familia,Abulia - trabajo o estudio,Anhedonia - intereses sexuales,Tristeza,Sueño o fatiga
Esquizofrenia,Irritabilidad,Anhedonia - sociabilidad,Afectividad inapropiada,Anergia física,Obsesiones de presencia,Abulia,Desorganización del pensamiento,Sueño o fatiga,Anhedonia,Lenguaje desorganizado
Esquizofrenia,Sentimiento de culpa,Desorganización del pensamiento,Dificultades en teoría de la mente,Irritabilidad,Anhedonia - relaciones con amigos,Anhedonia - intereses recreativos,Lenguaje desorganizado,Dificultad de concentración,Contacto visual bajo,Expresión facial reducida
Depresión mayor con síntomas psicóticos,Afectividad inapropiada,Anhedonia - intereses recreativos,Eco del pensamiento,Irritabilidad,Ideas delirantes,Taquicardia,Anhedonia - sociabilidad,Disnea,Control del pensamiento,Dificultades en teoría de la mente
Depresión mayor con síntomas psicóticos,Lenguaje desorganizado,Alogia - pobreza de contenido,Abulia - higiene,Taquicardia,Afectividad inapropiada,Paranoia intensa,Cambios en el apetito,Alogia,Anhedonia - relaciones con la familia,Sudoración
Trastorno delirante,Paranoia intensa,Abulia - higiene,Comportamiento motor desorganizado,Alogia - pobreza del habla,Anhedonia - sociabilidad,Deterioro de la atención,Contacto visual bajo,Temblores,Ideas suicidas,Dificultades en teoría de la mente
Trastorno delirante,Ideas delirantes,Hipervigilancia,Irritabilidad,Dificultad de concentración,Ideas suicidas,Anhedonia - relaciones con la familia,Contacto visual bajo,Obsesiones de presencia,Afectividad inapropiada,Control del pensamiento
Depresión mayor con síntomas psicóticos,Contacto visual bajo,Afectividad inapropiada,Comportamiento motor desorganizado,Abulia,Abulia - trabajo o estudio,Sentimiento de culpa,Alogia,Hipervigilancia,Expresión facial reducida,Anergia física
Trastorno delirante,Catatonía,Alogia,Expresión facial reducida,Control del pensamiento,Comportamiento motor desorganizado,Alogia - bloqueos del pensamiento,Hipervigilancia,Pensamientos intrusivos,Temblores,Anhedonia - relaciones con la familia
Trastorno esquizoafectivo,Cambios en el apetito,Alogia - pobreza de contenido,Catatonía,Taquicardia,Nerviosismo,Dificultades en teoría de la mente,Afectividad inapropiada,Abulia,Sueño o fatiga,Paranoia intensa
Trastorno delirante,Expresión facial reducida,Abulia - trabajo o estudio,Abulia - higiene,Dificultad de concentración,Eco del pensamiento,Obsesiones de presencia,Sudoración,Alogia - pobreza de contenido,Alucinaciones,Anergia física
Trastorno esquizoafectivo,Comportamiento motor desorganizado,Pensamientos intrusivos,Anergia física,Ideas delirantes,Alogia - pobreza de contenido,Deterioro de la atención,Control del pensamiento,Expresión facial reducida,Abulia,Temblores
Trastorno esquizoafectivo,Ideas suicidas,Sueño o fatiga,Anergia física,Afectividad inapropiada,Obsesiones de presencia,Dificultad de concentración,Deterioro de la atención,Desorganización del pensamiento,Control del pensamiento,Alogia - pobreza del habla
Trastorno esquizotípico,Anhedonia,Hipoexpresividad emocional,Alogia,Comportamiento motor desorganizado,Catatonía,Alogia - pobreza del habla,Contacto visual bajo,Sentimiento de culpa,Sueño o fatiga,Nerviosismo
Trastorno esquizoafectivo,Alogia - pobreza del habla,Anhedonia,Contacto visual bajo,Expresión facial reducida,Afectividad inapropiada,Anhedonia - relaciones con amigos,Dificultad de concentración,Abulia - trabajo o estudio,Obsesiones de presencia,Alogia - pobreza de contenido
Depresión mayor con síntomas psicóticos,Disminución del libido,Comportamiento social inadecuado,Abulia - trabajo o estudio,Sueño o fatiga,Catatonía,Alogia - pobreza del habla,Sudoración,Tristeza,Cambios en el apetito,Deterioro de la memoria
Depresión mayor con síntomas psicóticos,Anhedonia - intereses sexuales,Disnea,Gesticulación reducida,Hipervigilancia,Alogia,Anhedonia - relaciones con amigos,Deterioro de la atención,Alucinaciones,Pensamientos intrusivos,Paranoia intensa
Trastorno bipolar con síntomas psicóticos,Afectividad inapropiada,Deterioro de la atención,Dificultades en teoría de la mente,Anhedonia - intereses sexuales,Gesticulación reducida,Desorganización del pensamiento,Irritabilidad,Dificultad de concentración,Anhedonia - intereses recreativos,Nerviosismo
Trastorno bipolar con síntomas psicóticos,Abulia - trabajo o estudio,Ideas delirantes,Catatonía,Anhedonia - intereses sexuales,Deterioro de la atención,Control del pensamiento,Temblores,Cambios en el apetito,Anhedonia,Sudoración
Trastorno bipolar con síntomas psicóticos,Nerviosismo,Lenguaje desorganizado,Anhedonia - relaciones con amigos,Déficit en el procesamiento de la información,Alogia - pobreza del habla,Dificultades en teoría de la mente,Alucinaciones,Paranoia intensa,Anhedonia - sociabilidad,Ideas suicidas
Depresión mayor con síntomas psicóticos,Lenguaje desorganizado,Anergia física,Alogia - bloqueos del pensamiento,Tristeza,Control del pensamiento,Obsesiones de presencia,Comportamiento motor desorganizado,Anhedonia - sociabilidad,Déficit en el procesamiento de la información,Taquicardia
Trastorno esquizoafectivo,Preocupación,Ideas delirantes,Abulia - trabajo o estudio,Control del pensamiento,Abulia,Lenguaje desorganizado,Deterioro de la memoria,Deterioro de la atención,Dificultades en teoría de la mente,Sentimiento de culpa
Trastorno esquizoafectivo,Déficit en el procesamiento de la información,Taquicardia,Dificultades en teoría de la mente,Alogia - pobreza del habla,Ideas suicidas,Gesticulación reducida,Ideas delirantes,Sueño o fatiga,Hipoexpresividad emocional,Eco del pensamiento
Depresión mayor con síntomas psicóticos,Hipervigilancia,Hipoexpresividad emocional,Lenguaje desorganizado,Eco del pensamiento,Abulia - higiene,Control del pensamiento,Ideas delirantes,Dificultades en teoría de la mente,Abulia,Anhedonia - relaciones con la familia
Depresión mayor con síntomas psicóticos,Sueño o fatiga,Taquicardia,Obsesiones de presencia,Nerviosismo,Afectividad inapropiada,Sudoración,Alogia - pobreza de contenido,Disminución del libido,Alucinaciones,Disnea
Esquizofrenia,Disminución del libido,Anhedonia - relaciones con amigos,Ideas suicidas,Tristeza,Gesticulación reducida,Desorganización del pensamiento,Paranoia intensa,Sudoración,Pensamientos intrusivos,Catatonía
Trastorno esquizoafectivo,Abulia - trabajo o estudio,Sudoración,Anhedonia,Alogia - bloqueos del pensamiento,Sueño o fatiga,Comportamiento motor desorganizado,Ideas delirantes,Disnea,Alucinaciones,Lenguaje desorganizado
Trastorno delirante,Taquicardia,Ideas suicidas,Dificultad de concentración,Alogia - pobreza de contenido,Anhedonia - sociabilidad,Disminución del libido,Deterioro de la atención,Contacto visual bajo,Sentimiento de culpa,Gesticulación reducida
Depresión mayor con síntomas psicóticos,Hipervigilancia,Taquicardia,Sudoración,Comportamiento social inadecuado,Deterioro de la atención,Control del pensamiento,Abulia - higiene,Dificultad de concentración,Alucinaciones,Alogia
Trastorno bipolar con síntomas psicóticos,Irritabilidad,Temblores,Comportamiento social inadecuado,Cambios en el apetito,Ideas delirantes,Abulia - higiene,Control del pensamiento,Hipoexpresividad emocional,Pensamientos intrusivos,Anhedonia - sociabilidad
Trastorno delirante,Dificultades en teoría de la mente,Alucinaciones,Abulia - trabajo o estudio,Preocupación,Gesticulación reducida,Alogia - bloqueos del pensamiento,Alogia - pobreza del habla,Anhedonia - relaciones con amigos,Control del pensamiento,Comportamiento social inadecuado
Trastorno esquizotípico,Preocupación,Comportamiento motor desorganizado,Catatonía,Alogia,Desorganización del pensamiento,Disnea,Ideas delirantes,Control del pensamiento,Alogia - bloqueos del pensamiento,Anergia física
Trastorno esquizotípico,Paranoia intensa,Sudoración,Anhedonia - relaciones con la familia,Ideas delirantes,Control del pensamiento,Anhedonia - intereses recreativos,Alogia - pobreza de contenido,Anhedonia - relaciones con amigos,Irritabilidad,Eco del pensamiento
Trastorno esquizotípico,Hipervigilancia,Temblores,Anhedonia - relaciones con la familia,Eco del pensamiento,Dificultades en teoría de la mente,Anergia física,Abulia - higiene,Déficit en el procesamiento de la información,Anhedonia - sociabilidad,Gesticulación reducida
Depresión mayor con síntomas psicóticos,Comportamiento social inadecuado,Alucinaciones,Nerviosismo,Deterioro de la memoria,Taquicardia,Anhedonia - intereses sexuales,Sudoración,Pensamientos intrusivos,Hipervigilancia,Dificultades en teoría de la mente
Depresión mayor con síntomas psicóticos,Hipervigilancia,Abulia - higiene,Abulia,Alucinaciones,Expresión facial reducida,Deterioro de la memoria,Alogia - pobreza del habla,Preocupación,Gesticulación reducida,Pensamientos intrusivos
Depresión mayor con síntomas psicóticos,Catatonía,Eco del pensamiento,Sentimiento de culpa,Paranoia intensa,Anhedonia - intereses recreativos,Desorganización del pensamiento,Nerviosismo,Anhedonia,Déficit en el procesamiento de la información,Contacto visual bajo
Trastorno bipolar con síntomas psicóticos,Tristeza,Expresión facial reducida,Comportamiento social inadecuado,Catatonía,Anhedonia,Control del pensamiento,Hipervigilancia,Dificultades en teoría de la mente,Eco del pensamiento,Sudoración
Trastorno esquizotípico,Temblores,Alogia,Abulia,Control del pensamiento,Disminución del libido,Alogia - bloqueos del pensamiento,Comportamiento motor desorganizado,Anergia física,Sentimiento de culpa,Anhedonia - sociabilidad
Trastorno esquizoafectivo,Comportamiento motor desorganizado,Hipoexpresividad emocional,Alogia - bloqueos del pensamiento,Ideas suicidas,Deterioro de la memoria,Anergia física,Pensamientos intrusivos,Ideas delirantes,Desorganización del pensamiento,Abulia
Depresión mayor con síntomas psicóticos,Alucinaciones,Anergia física,Irritabilidad,Anhedonia - sociabilidad,Alogia - pobreza del habla,Abulia - higiene,Nerviosismo,Deterioro de la memoria,Afectividad inapropiada,Obsesiones de presencia
Esquizofrenia,Hipoexpresividad emocional,Abulia,Alogia - pobreza del habla,Desorganización del pensamiento,Hipervigilancia,Tristeza,Deterioro de la memoria,Dificultades en teoría de la mente,Irritabilidad,Control del pensamiento
Trastorno bipolar con síntomas psicóticos,Dificultades en teoría de la mente,Lenguaje desorganizado,Deterioro de la atención,Tristeza,Anhedonia - intereses recreativos,Anhedonia - sociabilidad,Abulia,Cambios en el apetito,Desorganización del pensamiento,Abulia - higiene
Depresión mayor con síntomas psicóticos,Catatonía,Anhedonia - intereses sexuales,Eco del pensamiento,Alogia - pobreza de contenido,Abulia - higiene,Hipoexpresividad emocional,Gesticulación reducida,Abulia - trabajo o estudio,Alogia,Alucinaciones
Trastorno esquizotípico,Hipoexpresividad emocional,Anhedonia - relaciones con la familia,Paranoia intensa,Anhedonia - relaciones con amigos,Anhedonia - intereses sexuales,Anhedonia - intereses recreativos,Comportamiento motor desorganizado,Catatonía,Comportamiento social inadecuado,Abulia
Trastorno bipolar con síntomas psicóticos,Comportamiento motor desorganizado,Anergia física,Contacto visual bajo,Abulia - trabajo o estudio,Anhedonia,Catatonía,Sentimiento de culpa,Nerviosismo,Deterioro de la atención,Sueño o fatiga
Depresión mayor con síntomas psicóticos,Ideas delirantes,Disminución del libido,Comportamiento social inadecuado,Dificultades en teoría de la mente,Alogia - bloqueos del pensamiento,Cambios en el apetito,Abulia,Pensamientos intrusivos,Abulia - higiene,Eco del pensamiento
Trastorno delirante,Abulia - higiene,Pensamientos intrusivos,Alogia - pobreza del habla,Hipoexpresividad emocional,Deterioro de la atención,Sueño o fatiga,Alucinaciones,Catatonía,Déficit en el procesamiento de la información,Anhedonia
Trastorno delirante,Anhedonia - intereses sexuales,Alogia - pobreza del habla,Eco del pensamiento,Afectividad inapropiada,Anhedonia,Hipoexpresividad emocional,Temblores,Alogia - pobreza de contenido,Ideas suicidas,Disnea
Trastorno esquizotípico,Preocupación,Control del pensamiento,Anhedonia - intereses sexuales,Sueño o fatiga,Deterioro de la atención,Comportamiento social inadecuado,Tristeza,Afectividad inapropiada,Ideas suicidas,Contacto visual bajo
Trastorno esquizoafectivo,Anhedonia - relaciones con la familia,Hipoexpresividad emocional,Dificultades en teoría de la mente,Alogia - pobreza de contenido,Sueño o fatiga,Catatonía,Comportamiento motor desorganizado,Anhedonia,Cambios en el apetito,Alogia - bloqueos del pensamiento
Trastorno esquizoafectivo,Contacto visual bajo,Eco del pensamiento,Catatonía,Irritabilidad,Disnea,Ideas delirantes,Sudoración,Deterioro de la atención,Alogia - pobreza del habla,Anergia física
Depresión mayor con síntomas psicóticos,Paranoia intensa,Taquicardia,Nerviosismo,Comportamiento motor desorganizado,Pensamientos intrusivos,Sentimiento de culpa,Hipervigilancia,Catatonía,Lenguaje desorganizado,Alogia - pobreza de contenido
Trastorno delirante,Anergia física,Anhedonia - sociabilidad,Alogia - pobreza de contenido,Cambios en el apetito,Temblores,Anhedonia - intereses sexuales,Gesticulación reducida,Sudoración,Sentimiento de culpa,Ideas suicidas
Esquizofrenia,Sudoración,Irritabilidad,Sentimiento de culpa,Alogia - bloqueos del pensamiento,Hipoexpresividad emocional,Deterioro de la memoria,Alogia - pobreza de contenido,Control del pensamiento,Sueño o fatiga,Paranoia intensa
Trastorno esquizotípico,Gesticulación reducida,Deterioro de la memoria,Desorganización del pensamiento,Lenguaje desorganizado,Comportamiento motor desorganizado,Anhedonia - sociabilidad,Anhedonia - intereses sexuales,Sudoración,Anhedonia - relaciones con la familia,Anhedonia - intereses recreativos
Esquizofrenia,Anhedonia - intereses recreativos,Anhedonia - relaciones con la familia,Catatonía,Anhedonia - intereses sexuales,Anhedonia - relaciones con amigos,Sueño o fatiga,Contacto visual bajo,Irritabilidad,Control del pensamiento,Paranoia intensa
Esquizofrenia,Deterioro de la memoria,Irritabilidad,Pensamientos intrusivos,Anergia física,Eco del pensamiento,Anhedonia - intereses sexuales,Comportamiento social inadecuado,Gesticulación reducida,Sudoración,Abulia - trabajo o estudio
Trastorno delirante,Afectividad inapropiada,Anhedonia,Pensamientos intrusivos,Anergia física,Deterioro de la atención,Dificultades en teoría de la mente,Anhedonia - intereses sexuales,Déficit en el procesamiento de la información,Alucinaciones,Comportamiento motor desorganizado
Trastorno esquizotípico,Anhedonia - relaciones con la familia,Afectividad inapropiada,Anhedonia - intereses sexuales,Eco del pensamiento,Anhedonia - sociabilidad,Comportamiento social inadecuado,Ideas suicidas,Taquicardia,Expresión facial reducida,Anhedonia - intereses recreativos
Trastorno bipolar con síntomas psicóticos,Deterioro de la atención,Lenguaje desorganizado,Tristeza,Alogia - pobreza del habla,Anhedonia - intereses recreativos,Anhedonia - relaciones con amigos,Abulia - trabajo o estudio,Anergia física,Gesticulación reducida,Cambios en el apetito
Depresión mayor con síntomas psicóticos,Disnea,Pensamientos intrusivos,Dificultades en teoría de la mente,Alogia - pobreza del habla,Desorganización del pensamiento,Eco del pensamiento,Expresión facial reducida,Contacto visual bajo,Alogia - pobreza de contenido,Anhedonia - intereses recreativos
Trastorno esquizoafectivo,Contacto visual bajo,Anergia física,Taquicardia,Pensamientos intrusivos,Hipoexpresividad emocional,Disnea,Sentimiento de culpa,Anhedonia - relaciones con amigos,Alogia - bloqueos del pensamiento,Expresión facial reducida
